Group,Full Code,Base Code,Primary Branch,Found In Branches,Normalized Code
Maintenance,Burra - Egli Maintenance,Burra - Egli Maintenance,null,PMB,BURRAEGLIMAINTENANCE
Maintenance,Burra - Jesmond Road Consumables,Burra - Jesmond Road Consumables,null,PMB,BURRAJESMONDROADCONSUMABLES
Maintenance,Burra - Jesmond Road Maintenance,Burra - Jesmond Road Maintenance,null,PMB,BURRAJESMONDROADMAINTENANCE
Maintenance,Burra - Remington Consumables,Burra - Remington Consumables,null,PMB,BURRAREMINGTONCONSUMABLES
Maintenance,Burra - Remington Maintenance,Burra - Remington Maintenance,null,PMB,BURRAREMINGTONMAINTENANCE
Maintenance,Burra - Thornycroft Consumables,Burra - Thornycroft Consumables,null,PMB,BURRATHORNYCROFTCONSUMABLES
Maintenance,Burra - Thornycroft Maintenance,Burra - Thornycroft Maintenance,null,PMB,BURRATHORNYCROFTMAINTENANCE
Maintenance,Burra - Truda CPT Consumables,Burra - Truda CPT Consumables,null,PMB | CPT,BURRATRUDACPTCONSUMABLES
Maintenance,Burra - Truda CPT Maintenance,Burra - Truda CPT Maintenance,null,PMB | CPT,BURRATRUDACPTMAINTENANCE
Maintenance,Burra - Truda PMB Consumables,Burra - Truda PMB Consumables,null,PMB,BURRATRUDAPMBCONSUMABLES
Maintenance,Burra - Truda PMB Maintenance,Burra - Truda PMB Maintenance,null,PMB,BURRATRUDAPMBMAINTENANCE
Maintenance,Burra - Truda PTA Consumables,Burra - Truda PTA Consumables,null,PTA,BURRATRUDAPTACONSUMABLES
Maintenance,Burra - Truda PTA Maintenance,Burra - Truda PTA Maintenance,null,PTA | CPT,BURRATRUDAPTAMAINTENANCE
Maintenance,Burra - Truda QTN Consumables,Burra - Truda QTN Consumables,null,QTN,BURRATRUDAQTNCONSUMABLES
Maintenance,Burra - Truda QTN Maintenance,Burra - Truda QTN Maintenance,null,QTN,BURRATRUDAQTNMAINTENANCE
Maintenance,Burra - Wonderboom House Consumables,Burra - Wonderboom House Consumables,null,PTA,BURRAWONDERBOOMHOUSECONSUMABLES
Maintenance,Burra - Wonderboom House Maintenance,Burra - Wonderboom House Maintenance,null,PTA,BURRAWONDERBOOMHOUSEMAINTENANCE
Maintenance,Burra - Zimbabwe Consumables,Burra - Zimbabwe Consumables,null,PMB,BURRAZIMBABWECONSUMABLES
Maintenance,CPT - Dispatch Consumables,Dispatch Consumables,CPT,PMB | PTA | QTN | CPT,DISPATCHCONSUMABLES
Maintenance,CPT - Diss Transport (Staff Transport),Diss Transport (Staff Transport),CPT,CPT,DISSTRANSPORTSTAFFTRANSPORT
